U,ADC,DAC
"0,158",0,0
"0,185",0,31
"0,21",0,44
"0,22",3,49
"0,228",5,53
"0,284",19,82
"0,35",32,113
"0,396",46,142
"0,446",57,169
"0,49",69,196
"0,54",81,223
"0,592",93,251
"0,64",105,278
"0,691",117,305
"0,742",129,333
"0,792",142,360
"0,842",154,387
"0,892",165,414
"0,944",179,441
"0,993",189,468
"1,043",203,495
"1,094",215,522
"1,143",227,549
"1,194",239,576
"1,295",262,630
"1,395",286,684
"1,495",311,738
"1,596",336,792
"1,696",361,846
"1,795",384,900
"1,895",408,954
"1,996",434,1009
"2,09",456,1063
"2,19",481,1117
"2,29",505,1171
"2,39",529,1225
"2,49",554,1279
"2,74",613,1414
"2,99",673,1550
"3,24",733,1685
"3,49",792,1820
"3,74",853,1955
"3,99",914,2091
"4,24",974,2226
"4,49",1034,2361
"4,74",1095,2496
"4,99",1156,2631
"5,49",1277,2901
"5,99",1398,3172
"6,49",1520,3441
"6,99",1642,3771
"7,53",1773,4010
"7,97",1880,4238
"8,49",2004,4521
"8,96",2119,4770
"9,47",2243,5041
"9,98",2366,5316
"10,98",2608,5850
"11,97",2848,6383
"12,97",3090,6921
"13,98",3332,7460
"14,98",3575,7998
"15,98",3820,8537
"16,99",4061,9078
18,4309,9619
"19,01",4549,10160
20,4796,10699
21,5038,11236
22,5279,11774
23,5525,12312
24,5765,12850
25,6005,13387
"25,5",6128,13655
26,6248,13923
"26,5",6369,14191
27,6491,14459
"27,5",6612,14727
"27,7",6658,14834
28,6733,14996
"28,2",6781,15103
"28,5",6853,15264
"28,7",6898,15371
29,6973,15532
"29,2",7023,15640
"29,5",7096,15800
"29,7",7143,15907
30,7205,16047
